# QwenInst32 self-play, no-repeat, temp=0.7. Per-seed random start (word2vec) + rollout.
# seed | start(P1/P2) | P1 words -> | P2 words -> | outcome
  0 | reminder/sealed | reminder mirror echo | sealed whisper echo | agreed 'echo' @turn2
  1 | ruled/faced | ruled tested chased matched aligned | faced triumph balanced measured aligned | agreed 'aligned' @turn4
  2 | begun/paints | begun tapes scent carnage bandage cannon cannoned | paints crown began banned banquet banded cannoned | agreed 'cannoned' @turn6
  3 | lied/university | lied history tree carrot night moon star fire river earth | university apple orange sky planet light stone sun water earth | agreed 'earth' @turn9
  4 | diarrhea/romp | diarrhea ballet tango sonnet | romp cacoph serenade sonnet | agreed 'sonnet' @turn3
  5 | scattered/rails | scattered mirrors whispers tide shadowed dawned reverber resonate resonance | rails dawn echo echoed echoes reflected tides echoing resonance | agreed 'resonance' @turn8
  6 | clinic/groups | clinic teams chair dance lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp lamp | groups apple banana table plant clock book desk carrot flower flute hat jacket joke knife plate knife plate clock grape cake cup knife knife knife knife knife cake cake cake | no-converge
  7 | rehearsal/modular | rehearsal symphony | modular symphony | agreed 'symphony' @turn1
  8 | proudly/graphic | proudly silent bravely calmly quietly loudly | graphic tactfully gracefully boldly shyly loudly | agreed 'loudly' @turn5
  9 | promptly/boom | promptly echo murmur roar thunder | boom whisper crash hum thunder | agreed 'thunder' @turn4
 10 | brief/dried | brief exact damp dry bore dormant dared | dried dorm fence bored fired dare dared | agreed 'dared' @turn6
 11 | scripted/acquitted | scripted admitted | acquitted admitted | agreed 'admitted' @turn1
 12 | tracks/mine | tracks gold crown iron ring diamond pearl onyx | mine victory silver jewels bronze platinum emerald onyx | agreed 'onyx' @turn7
 13 | previously/paradise | previously mirror symphony serenity calm | paradise harmony sunlight silence calm | agreed 'calm' @turn4
 14 | vampire/sacked | vampire harmony tango alpha | sacked whisper echo alpha | agreed 'alpha' @turn3
 15 | bio/spiral | bio echo | spiral echo | agreed 'echo' @turn1
