run,task,seed,agent,probe_acc,probe_acc_clean,acc_own,acc_partner,acc_both,acc_none,pre_true,post_true,post_own_decoy,nwords,leaked,fallbacks,unparsed_probes,words
Llama70_m3_main,t1_animals,0,A,0.9,0.9,1.0,1.0,0.6666666666666666,1.0,True,False,False,3,0,0,0,might m pig
Llama70_m3_main,t1_animals,0,B,0.7,0.7,0.6666666666666666,1.0,0.3333333333333333,1.0,True,False,False,3,0,0,0,message message message
Llama70_m3_main,t2_foods,0,A,0.6,0.6,0.75,,0.25,1.0,False,False,False,3,0,0,0,related m we
Llama70_m3_main,t2_foods,0,B,0.6,0.6,,0.75,0.25,1.0,True,False,False,3,0,0,0,round ll ll
Llama70_m3_main,t3_vehicles,0,A,0.6,0.6,0.5,1.0,0.25,1.0,True,False,False,3,0,0,0,message hang scooter
Llama70_m3_main,t3_vehicles,0,B,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,True,True,False,3,0,0,0,message message bicycle
Llama70_m3_main,t4_instruments,0,A,0.9,0.9,1.0,1.0,0.6666666666666666,1.0,True,True,False,3,0,0,0,might s we
Llama70_m3_main,t4_instruments,0,B,0.9,0.9,1.0,1.0,0.6666666666666666,1.0,False,True,False,3,0,0,0,for guitar microphone
Llama70_m3_main,t5_bodyparts,0,A,0.8,0.7777777777777778,1.0,1.0,0.5,1.0,True,False,False,3,1,0,0,ll message elbow
Llama70_m3_main,t5_bodyparts,0,B,0.6,0.5555555555555556,0.5,1.0,0.25,1.0,True,True,False,3,1,0,0,message message lip
Llama70_m3_main,t6_weather,0,A,0.4,0.4,0.5,1.0,0.0,1.0,False,False,False,3,0,0,0,might chair tree
Llama70_m3_main,t6_weather,0,B,0.5,0.5,1.0,1.0,0.0,1.0,False,False,False,3,0,0,0,snow storm mountain
Llama70_m2_main,t1_animals,0,A,0.9,0.875,1.0,1.0,1.0,0.6666666666666666,False,True,False,3,2,0,0,goat tiger horse
Llama70_m2_main,t1_animals,0,B,0.5,0.375,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,True,True,False,3,2,0,0,elephant giraffe kangaroo
Llama70_m2_main,t2_foods,0,A,0.6,0.6,0.25,,1.0,0.5,False,False,False,3,0,0,0,pineapple grape peach
Llama70_m2_main,t2_foods,0,B,0.5,0.5,,0.5,0.75,0.0,True,False,False,3,0,0,0,pear kiwi orange
Llama70_m2_main,t3_vehicles,0,A,0.6,0.6,0.5,0.6666666666666666,0.5,1.0,False,False,False,3,0,0,0,pineapple guitar stapler
Llama70_m2_main,t3_vehicles,0,B,0.7,0.7,0.6666666666666666,1.0,0.5,1.0,False,False,True,3,0,0,0,jet rocket snowboard
Llama70_m2_main,t4_instruments,0,A,0.7,0.7777777777777778,1.0,0.6666666666666666,0.3333333333333333,1.0,False,False,False,3,1,0,0,piano guitar trumpet
Llama70_m2_main,t4_instruments,0,B,0.8,0.7777777777777778,0.6666666666666666,1.0,1.0,0.5,False,False,False,3,1,0,0,cathedral vacation banjo
Llama70_m2_main,t5_bodyparts,0,A,0.8,0.7777777777777778,1.0,1.0,0.5,1.0,False,False,False,3,1,0,0,toe eye elbow
Llama70_m2_main,t5_bodyparts,0,B,0.7,0.6666666666666666,0.5,0.6666666666666666,0.75,1.0,True,True,False,3,1,0,0,foot ear tongue
Llama70_m2_main,t6_weather,0,A,0.4,0.4,0.0,0.0,0.8,0.0,True,False,False,3,0,0,0,frost cloud chair
Llama70_m2_main,t6_weather,0,B,0.5,0.5,0.0,0.0,1.0,0.0,False,False,True,3,0,0,0,snow cloud ice
Llama70_m1_main,t1_animals,0,A,0.6,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,True,False,False,3,1,0,0,goat kite peacock
Llama70_m1_main,t1_animals,0,B,0.6,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,True,True,False,3,1,0,0,cloud submarine tiger
Llama70_m1_main,t2_foods,0,A,0.4,0.4,0.5,,0.0,1.0,False,False,False,3,0,0,0,pineapple grape peach
Llama70_m1_main,t2_foods,0,B,0.5,0.5,,0.75,0.0,1.0,True,False,False,3,0,0,0,apple kiwi pear
Llama70_m1_main,t3_vehicles,0,A,0.5,0.5,1.0,0.6666666666666666,0.0,1.0,False,False,True,3,2,0,0,golfcart skateboard tricycle
Llama70_m1_main,t3_vehicles,0,B,0.6,0.5,0.6666666666666666,1.0,0.25,1.0,True,False,False,3,2,0,0,jetboat submarine airplane
Llama70_m1_main,t4_instruments,0,A,0.6,0.6,1.0,0.3333333333333333,0.3333333333333333,1.0,False,False,False,3,0,0,0,piano guitar trumpet
Llama70_m1_main,t4_instruments,0,B,0.5,0.5,0.3333333333333333,1.0,0.0,1.0,False,False,False,3,0,0,0,cloud foghorn stamp
Llama70_m1_main,t5_bodyparts,0,A,0.5,0.5555555555555556,0.6666666666666666,0.5,0.25,1.0,True,True,False,3,1,0,0,toe nose elbow
Llama70_m1_main,t5_bodyparts,0,B,0.5,0.5555555555555556,0.5,0.6666666666666666,0.25,1.0,True,True,False,3,1,0,0,cloud piano flower
Llama70_m1_main,t6_weather,0,A,0.6,0.5555555555555556,1.0,1.0,0.2,1.0,False,False,False,3,1,0,0,cloud fog mist
Llama70_m1_main,t6_weather,0,B,0.5,0.5555555555555556,1.0,1.0,0.0,1.0,False,False,True,3,1,0,0,snow iceberg ice
Qwen72_m3_main,t1_animals,0,A,0.8,0.8888888888888888,1.0,1.0,0.3333333333333333,1.0,True,False,False,3,1,0,0,sheep dog fish
Qwen72_m3_main,t1_animals,0,B,0.8,0.8888888888888888,1.0,1.0,0.3333333333333333,1.0,True,False,False,3,1,0,0,elephant giraffe tiger
Qwen72_m3_main,t2_foods,0,A,0.7,0.7,0.75,,0.5,1.0,True,True,False,3,0,0,0,cherry banana carrot
Qwen72_m3_main,t2_foods,0,B,0.7,0.7,,0.75,0.5,1.0,False,False,False,3,0,0,0,apple grape peach
Qwen72_m3_main,t3_vehicles,0,A,0.5,0.5,1.0,0.6666666666666666,0.0,1.0,False,False,False,3,0,0,0,kayak level deified
Qwen72_m3_main,t3_vehicles,0,B,0.9,0.9,1.0,1.0,0.75,1.0,True,True,False,3,0,0,0,scooter bicycle car
Qwen72_m3_main,t4_instruments,0,A,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,3,0,0,0,flute drum piano
Qwen72_m3_main,t4_instruments,0,B,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,3,0,0,0,saxophone guitar piano
Qwen72_m3_main,t5_bodyparts,0,A,0.9,0.8888888888888888,1.0,0.5,1.0,1.0,True,True,False,3,1,0,0,elbow toe hair
Qwen72_m3_main,t5_bodyparts,0,B,0.9,0.8888888888888888,0.5,1.0,1.0,1.0,True,True,False,3,1,0,0,ear finger heart
Qwen72_m3_main,t6_weather,0,A,0.6,0.6,0.5,0.5,0.6,1.0,True,False,False,3,0,0,0,cloud ice wind
Qwen72_m3_main,t6_weather,0,B,0.7,0.7,0.5,1.0,0.6,1.0,True,False,False,3,0,0,0,snow ice water
Qwen72_m2_main,t1_animals,0,A,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,3,1,0,0,dog cat sheep
Qwen72_m2_main,t1_animals,0,B,0.9,1.0,1.0,1.0,0.6666666666666666,1.0,True,True,False,3,1,0,0,dog cat elephant
Qwen72_m2_main,t2_foods,0,A,0.6,0.5555555555555556,0.75,,0.25,1.0,True,False,False,3,1,0,0,banana orange peach
Qwen72_m2_main,t2_foods,0,B,0.6,0.5555555555555556,,0.75,0.25,1.0,False,False,False,3,1,0,0,apple grape lemon
Qwen72_m2_main,t3_vehicles,0,A,0.5,0.5,1.0,0.6666666666666666,0.0,1.0,False,False,False,3,0,0,0,kayak level rotator
Qwen72_m2_main,t3_vehicles,0,B,0.8,0.8,1.0,0.5,0.75,1.0,True,True,False,3,0,0,0,bicycle scooter car
Qwen72_m2_main,t4_instruments,0,A,1.0,1.0,1.0,1.0,1.0,1.0,False,True,False,3,0,0,0,guitar flute drum
Qwen72_m2_main,t4_instruments,0,B,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,3,0,0,0,violin flute piano
Qwen72_m2_main,t5_bodyparts,0,A,0.9,0.9,1.0,0.5,1.0,1.0,True,True,False,3,0,0,0,nose finger toe
Qwen72_m2_main,t5_bodyparts,0,B,0.9,0.9,0.5,1.0,1.0,1.0,True,True,False,3,0,0,0,ear finger toe
Qwen72_m2_main,t6_weather,0,A,0.8,0.8,0.5,0.5,1.0,1.0,True,True,False,3,0,0,0,cloud wind sun
Qwen72_m2_main,t6_weather,0,B,0.7,0.7,0.5,1.0,0.6,1.0,False,True,False,3,0,0,0,snow ice rain
Qwen72_m1_main,t1_animals,0,A,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,3,1,0,0,dog cat sheep
Qwen72_m1_main,t1_animals,0,B,0.9,1.0,1.0,1.0,0.6666666666666666,1.0,True,True,False,3,1,0,0,dog cat elephant
Qwen72_m1_main,t2_foods,0,A,0.6,0.5555555555555556,0.75,,0.25,1.0,True,False,False,3,1,0,0,banana orange peach
Qwen72_m1_main,t2_foods,0,B,0.4,0.3333333333333333,,0.25,0.25,1.0,False,False,False,3,1,0,0,apple grape lemon
Qwen72_m1_main,t3_vehicles,0,A,0.5,0.5,1.0,0.6666666666666666,0.0,1.0,False,False,False,3,0,0,0,kayak level rotor
